id logtype campaign_id userid
6221536775740391616 0 38648 6208182025872147415
6221536779988041935 0 0 6181382894534197443
6221536780033458383 0 1404996 6039487946832937945
6221536779994464832 0 0 6221117466628847635
6221536780018909760 0 0 6221117466628847635
6221536780037784127 0 38648 6141982238935875791
6221536784335241792 0 0 6190022766688600257
6221536788619460815 2 1450768 6221536419258040896
6221536788624835136 0 0 6194312386773386200
6221536784346185815 2 1450786 6187210138655850703
6221536788635910331 2 1477821 6216964366397603863
6221536784349659223 0 0 6187210138655850703
6221536788623196367 0 83359 6221536651172446415
6221536788585054365 0 352777 5907542776231297292
6221536788594688207 2 1450786 6221536651172446415
6221536792910495951 0 0 6221536419258040896
6221536792920261184 0 0 6099922685057695777
6221536792918622415 0 0 0
6221536792915149376 2 1450786 6221206428291825856
6221536792876482747 0 1477821 6216964366397603863
6221536792918229568 0 0 6221206428291825856
6221536792911282368 0 352777 6218936520884617585
6221536792889589947 0 0 6216964366397603863
6221536797177020603 2 1450768 6217047100349546557
6221536797184622779 0 0 6217047100349546557
6221536792925765839 0 0 6221536419258040896
6221536797191438523 0 0 6217047100349546557
6221536797191897211 0 352777 6137117771874238558
6221536797207494843 0 352777 6023142542546108428
6221536797220667967 0 352777 6221527782039879692
6221536792924389952 0 0 6221206428291825856
6221536797185736911 2 1450768 6221536419258040896
6221536797196288187 2 1450768 6217047100349546557
6221536797197206080 0 0 6221206428291825856
6221536797171515968 0 38648 6190022766688600257
6221536797184361024 0 38648 6099922685057695777
6221536801506329151 2 1396020 6175513529643761677
6221536801471201487 0 1411510 6221536419258040896
6221536801480048827 0 1411510 6217047100349546557
6221536801468842176 2 1477821 0
6221536801483456699 0 0 6216964366397603863
6221536801482866895 0 38648 0
6221536801513865423 0 38648 6181382894534197443
6221536805796905535 0 1396020 6175513529643761677
6221536805769707712 0 1477821 0
6221536801519829184 0 352777 6218936520884617585
6221536805774098555 0 352777 6208884772727161024
6221536805787074752 0 0 0
6221536810065330751 2 1396020 6136505953763787734
6221536810084859991 2 1450768 6118588376709005369
6221536810105569367 0 0 6118588376709005369
6221536810050781759 0 0 6175513529643761677
6221536810100981967 0 0 6103866744947212343
6221536810066706619 0 1450768 6217047100349546557
6221536810083680343 2 1477821 6187210138655850703
6221536810090037335 0 1477821 6187210138655850703
6221536810074439872 0 352777 6218936520884617585
